iter	Passed	Remaining
407	5559	8066
408	5574	8055
409	5591	8045
410	5606	8034
411	5620	8022
412	5635	8009
413	5652	8000
414	5664	7984
415	5677	7970
416	5693	7959
417	5708	7948
418	5725	7939
419	5741	7929
420	5760	7922
421	5778	7915
422	5796	7906
423	5810	7893
424	5826	7882
425	5842	7871
426	5857	7860
427	5872	7848
428	5887	7836
429	5903	7825
430	5917	7812
431	5931	7798
432	5946	7787
433	5961	7774
434	5973	7758
435	5987	7744
436	6000	7731
437	6014	7717
438	6028	7703
439	6040	7687
440	6055	7675
441	6070	7663
442	6083	7649
443	6096	7634
444	6107	7616
445	6118	7600
446	6131	7585
447	6143	7569
448	6154	7553
449	6169	7540
450	6182	7525
451	6195	7511
452	6206	7494
453	6219	7479
454	6232	7465
455	6246	7451
456	6259	7437
457	6272	7422
458	6284	7407
459	6297	7392
460	6310	7378
461	6321	7360
462	6332	7344
463	6345	7329
464	6357	7314
465	6369	7299
466	6380	7282
467	6393	7267
468	6405	7251
469	6415	7235
470	6428	7220
471	6441	7206
472	6452	7189
473	6465	7175
474	6478	7160
475	6491	7146
476	6502	7129
477	6516	7116
478	6530	7103
479	6543	7088
480	6556	7074
481	6570	7061
482	6582	7046
483	6594	7030
484	6607	7016
485	6620	7001
486	6633	6987
487	6645	6972
488	6658	6958
489	6671	6943
490	6683	6928
491	6694	6912
492	6708	6899
493	6722	6886
494	6736	6872
495	6748	6857
496	6762	6843
497	6776	6830
498	6790	6817
499	6803	6803
500	6814	6786
501	6830	6776
502	6846	6765
503	6861	6752
504	6878	6742
505	6894	6731
506	6907	6716
507	6921	6703
508	6934	6689
509	6946	6674
510	6960	6661
511	6976	6649
512	6989	6635
513	7003	6621
514	7017	6608
515	7031	6595
516	7043	6580
517	7057	6566
518	7070	6553
519	7084	6539
520	7099	6526
521	7110	6511
522	7123	6497
523	7138	6484
524	7151	6470
525	7165	6457
526	7178	6443
527	7191	6428
528	7204	6414
529	7217	6400
530	7230	6386
531	7242	6371
532	7256	6357
533	7270	6344
534	7284	6331
535	7299	6318
536	7313	6305
537	7328	6293
538	7340	6278
539	7354	6265
540	7370	6253
541	7385	6240
542	7400	6228
543	7414	6215
544	7427	6201
545	7440	6186
546	7453	6172
547	7466	6158
548	7480	6145
549	7494	6131
550	7510	6120
551	7523	6106
552	7536	6092
553	7550	6078
554	7564	6065
555	7578	6051
556	7591	6037
557	7604	6023
558	7617	6009
559	7630	5995
560	7644	5981
561	7656	5967
562	7669	5952
563	7681	5938
564	7697	5926
565	7711	5913
566	7726	5900
567	7742	5888
568	7755	5874
569	7769	5861
570	7782	5847
571	7797	5834
572	7812	5821
573	7825	5808
574	7837	5793
575	7848	5777
576	7860	5762
577	7873	5748
578	7884	5732
579	7898	5719
580	7910	5704
581	7922	5690
582	7934	5675
583	7945	5659
584	7958	5645
585	7970	5631
586	7981	5615
587	7992	5600
588	8005	5586
589	8020	5573
590	8031	5558
591	8042	5543
592	8055	5528
593	8066	5513
594	8077	5498
595	8090	5484
596	8103	5469
597	8115	5455
598	8126	5440
599	8138	5425
600	8153	5412
601	8165	5398
602	8175	5382
603	8188	5368
604	8200	5354
605	8212	5339
606	8223	5324
607	8236	5310
608	8248	5295
609	8258	5280
610	8271	5266
611	8283	5251
612	8294	5236
613	8307	5222
614	8321	5209
615	8333	5194
616	8346	5181
617	8357	5165
618	8369	5151
619	8381	5137
620	8392	5121
621	8404	5107
622	8417	5093
623	8431	5080
624	8443	5066
625	8456	5052
626	8469	5038
627	8483	5024
628	8496	5011
629	8508	4996
630	8522	4983
631	8534	4969
632	8549	4956
633	8561	4942
634	8577	4930
635	8589	4916
636	8603	4902
637	8617	4889
638	8632	4876
639	8644	4862
640	8655	4847
641	8669	4834
642	8685	4822
643	8700	4809
644	8715	4796
645	8730	4784
646	8742	4770
647	8754	4755
648	8768	4742
649	8783	4729
650	8796	4715
651	8808	4701
652	8822	4688
653	8833	4673
654	8846	4659
655	8859	4645
656	8870	4630
657	8881	4616
658	8894	4602
659	8904	4587
660	8915	4572
661	8928	4558
662	8941	4544
663	8953	4530
664	8964	4515
665	8976	4501
666	8988	4487
667	8998	4472
668	9011	4458
669	9024	4444
670	9036	4430
671	9047	4415
672	9060	4402
673	9075	4389
674	9091	4377
675	9103	4363
676	9115	4348
677	9130	4336
678	9145	4323
679	9160	4310
680	9175	4297
681	9189	4284
682	9203	4271
683	9216	4257
684	9231	4245
685	9247	4232
686	9263	4220
687	9277	4207
688	9293	4194
689	9307	4181
690	9323	4169
691	9338	4156
692	9353	4143
693	9366	4130
694	9379	4116
695	9391	4102
696	9405	4088
697	9419	4075
698	9430	4060
699	9444	4047
700	9456	4033
701	9471	4020
702	9485	4007
703	9498	3993
704	9511	3979
705	9526	3966
706	9541	3954
707	9558	3942
708	9573	3929
709	9589	3916
710	9605	3904
711	9621	3891
712	9637	3879
713	9654	3867
714	9671	3854
715	9686	3842
716	9702	3829
717	9717	3816
718	9731	3803
719	9745	3789
720	9761	3777
721	9774	3763
722	9789	3750
723	9803	3737
724	9817	3723
725	9831	3710
726	9845	3697
727	9860	3683
728	9871	3669
729	9884	3655
730	9897	3642
731	9908	3627
732	9919	3613
733	9932	3599
734	9944	3585
735	9955	3571
736	9970	3557
737	9984	3544
738	9998	3531
739	10011	3517
740	10022	3503
741	10035	3489
742	10049	3476
743	10064	3463
744	10079	3450
745	10092	3436
746	10103	3421
747	10116	3408
748	10130	3395
749	10145	3381
750	10160	3368
751	10171	3354
752	10184	3340
753	10198	3327
754	10211	3313
755	10224	3300
756	10235	3285
757	10247	3271
758	10261	3258
759	10273	3244
