iter	Logloss
696	0.4838592356
697	0.483670426
698	0.4835431645
699	0.4834224934
700	0.4832358582
701	0.4830883896
702	0.4829249122
703	0.4827502508
704	0.4825731726
705	0.4824400447
706	0.4823336026
707	0.4821721483
708	0.4820715205
709	0.4819567335
710	0.4818029749
711	0.4816784551
712	0.4814938324
713	0.4813307332
714	0.4812168712
715	0.4810828331
716	0.4808655614
717	0.4807166817
718	0.4805506348
719	0.4803836424
720	0.4802075021
721	0.4800146405
722	0.4798442302
723	0.4796855425
724	0.4795538024
725	0.4793800353
726	0.4791643283
727	0.4789948639
728	0.4788770901
729	0.4787405852
730	0.4786241446
731	0.4784707286
732	0.4782653269
733	0.4780375577
734	0.4778826945
735	0.4777634441
736	0.4776676945
737	0.4775126573
738	0.4774024455
739	0.4771828526
740	0.4770665992
741	0.4768625198
742	0.4766883693
743	0.4765702296
744	0.476414846
745	0.4762512807
746	0.476106444
747	0.4759938726
748	0.4759183639
749	0.475805937
750	0.4756984971
751	0.4754543334
752	0.4753013666
753	0.4751814409
754	0.4750401115
755	0.4748926417
756	0.4748141391
757	0.4746159652
758	0.474460457
759	0.4743809291
760	0.4742824903
761	0.4741072123
762	0.4739953513
763	0.4738040144
764	0.4736550692
765	0.4735230084
766	0.4733765128
767	0.4732243437
768	0.473024798
769	0.4728549944
770	0.4727057082
771	0.4725116795
772	0.4723868306
773	0.4722211521
774	0.4720554199
775	0.4719224347
776	0.4718097289
777	0.4716616424
778	0.4715543569
779	0.471359734
780	0.471224105
781	0.4711022398
782	0.4709168041
783	0.4707735201
784	0.4705730434
785	0.4704256633
786	0.4703420035
787	0.4701630747
788	0.4700060986
789	0.4698598449
790	0.4696242015
791	0.4695055555
792	0.4692866836
793	0.4691837019
794	0.4689771749
795	0.4688838428
796	0.4687237971
797	0.4685871753
798	0.4684438513
799	0.4683050587
800	0.4681383699
801	0.4680147862
802	0.4678592965
803	0.4677106905
804	0.4675741778
805	0.4674118458
806	0.4672839728
807	0.4671771572
808	0.4670114423
809	0.4668620279
810	0.4666239893
811	0.466471057
812	0.4663961061
813	0.4662682123
814	0.4661385273
815	0.4659494222
816	0.4658446454
817	0.4656381271
818	0.4654779668
819	0.4652917091
820	0.4651134223
821	0.4650168459
822	0.4649229242
823	0.4647612618
824	0.4646417689
825	0.464524546
826	0.464384827
827	0.4641945747
828	0.4640879104
829	0.4638914577
830	0.4637613491
831	0.4635964977
832	0.4634616365
833	0.4633554888
834	0.4631919959
835	0.4630359157
836	0.4628401269
837	0.4627589267
838	0.4626643363
839	0.4625571795
840	0.4624184008
841	0.4622881569
842	0.4621870203
843	0.4620991096
844	0.4618743402
845	0.4617451153
846	0.4616170831
847	0.4615032471
848	0.4614011322
849	0.4612420531
850	0.4610653386
851	0.4609125431
852	0.4608001343
853	0.4606201963
854	0.460481463
855	0.4603135569
856	0.4602127202
857	0.4600885543
858	0.4598724285
859	0.4597328527
860	0.4596181618
861	0.4595147778
862	0.459392398
863	0.4593197397
864	0.4591244608
865	0.4590290552
866	0.4588907113
867	0.4587628102
868	0.4585794287
869	0.4584412564
870	0.458274991
871	0.4581445403
872	0.4580377385
873	0.4578521334
874	0.457642907
875	0.457510827
876	0.4574439109
877	0.4572788284
878	0.4571398026
879	0.4570577237
880	0.4569121417
881	0.4568244558
882	0.4567111227
883	0.456515759
884	0.4564002217
885	0.4563414209
886	0.4562040965
887	0.4560716261
888	0.4559295266
889	0.4558001359
890	0.4556424451
891	0.4555322274
892	0.4554294529
893	0.4553278812
894	0.4551864519
895	0.4550670328
896	0.454898844
897	0.4547204191
898	0.4546282527
899	0.4545319494
900	0.454387891
901	0.4542630445
902	0.4541634709
903	0.4540249436
904	0.4539220964
905	0.4538141048
906	0.4537150497
907	0.4535552202
908	0.4533360982
909	0.4532662777
910	0.4531016023
911	0.4529784113
912	0.4528187394
913	0.4527037974
914	0.452541493
915	0.4524225921
916	0.4523020244
917	0.452236055
918	0.4520722147
919	0.4519533816
920	0.4517816943
921	0.4516159098
922	0.451420239
923	0.4513136714
924	0.4512312572
925	0.4511050488
926	0.4509717229
927	0.4508206553
928	0.4506519499
929	0.450467081
930	0.4502803813
931	0.4501698957
932	0.4500695533
933	0.4499661216
934	0.4498072431
935	0.4496577601
936	0.4495415831
937	0.4494236463
938	0.4492767335
939	0.4491771931
940	0.4491125918
941	0.4489800566
942	0.4488241992
943	0.4486891484
944	0.4485232638
945	0.4484100512
946	0.4481869717
947	0.4480372147
948	0.447899711
949	0.4477726176
950	0.4476682878
951	0.4475179468
952	0.447372196
953	0.4472834364
954	0.4471522908
955	0.4470649225
956	0.4469278399
957	0.4468145956
958	0.4466907068
959	0.4465644342
960	0.4464746712
961	0.4463849745
962	0.4463692121
963	0.4462908852
964	0.4461994598
965	0.4460902249
966	0.4459793288
967	0.4458599059
968	0.4457348461
969	0.4456075387
970	0.4454154179
971	0.4452961049
972	0.4451324507
973	0.4449731879
974	0.4448426762
975	0.4446759869
976	0.4445447414
977	0.4444395866
978	0.4442993693
979	0.4441666324
980	0.4440562622
981	0.4438651901
982	0.4438063816
983	0.443658148
984	0.4435149744
985	0.4433604588
986	0.4432484607
987	0.4431393492
988	0.4430232076
989	0.4428881497
990	0.4427846186
991	0.4426467101
992	0.442532198
993	0.4424061629
994	0.4423215254
995	0.4421731368
996	0.442054814
997	0.4419090574
998	0.4417835498
999	0.4416793147
